EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	01:29:26	0	0.1000	0.21769149979794927	3.789438247680664	0.5467	0.5467	0.5467	0.5467
2	01:29:35	1	0.1000	1.03142325554365	0.9583497643470764	0.4533	0.4533	0.4533	0.4533
3	01:29:44	2	0.1000	0.8809849600144375	0.9287228584289551	0.4533	0.4533	0.4533	0.4533
4	01:29:53	3	0.1000	0.8687127563099802	0.9073594212532043	0.4533	0.4533	0.4533	0.4533
5	01:30:02	4	0.1000	0.8548386251190563	0.8893440961837769	0.4533	0.4533	0.4533	0.4533
6	01:30:12	0	0.0500	0.6772011914665317	0.6175578236579895	0.6667	0.6667	0.6667	0.6667
7	01:30:21	1	0.0500	0.7092596715762292	0.6521316766738892	0.5778	0.5778	0.5778	0.5778
8	01:30:30	2	0.0500	0.6649306231369206	0.7240562438964844	0.5244	0.5244	0.5244	0.5244
9	01:30:39	3	0.0500	0.6615921938860858	0.7378140687942505	0.5689	0.5689	0.5689	0.5689
10	01:30:48	0	0.0500	0.6415266653932171	0.571568489074707	0.7333	0.7333	0.7333	0.7333EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	01:15:02	0.1000	0.9183	0.9692	0.4533	0.4533	0.4533	0.4533
2	01:15:14	0.1000	0.8670	0.6613	0.5600	0.5600	0.5600	0.5600
3	01:15:26	0.1000	0.8853	0.9236	0.4533	0.4533	0.4533	0.4533
4	01:15:38	0.1000	0.8385	0.9030	0.4533	0.4533	0.4533	0.4533
5	01:15:50	0.1000	0.8266	0.8815	0.4533	0.4533	0.4533	0.4533
6	01:16:02	0.1000	0.8158	0.7793	0.5556	0.5556	0.5556	0.5556
7	01:16:14	0.0500	0.6589	0.6004	0.6978	0.6978	0.6978	0.6978
8	01:16:34	0.0500	0.6494	0.6876	0.5467	0.5467	0.5467	0.5467
9	01:16:46	0.0500	0.6397	0.5814	0.7156	0.7156	0.7156	0.7156
10	01:16:58	0.0500	0.6305	0.5569	0.7244	0.7244	0.7244	0.7244
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:18:07	0.1000	0.9183	0.9692	0.4533	0.4533	0.4533	0.4533
2	17:18:19	0.1000	0.8670	0.6613	0.5600	0.5600	0.5600	0.5600
3	17:18:30	0.1000	0.8853	0.9236	0.4533	0.4533	0.4533	0.4533
4	17:18:41	0.1000	0.8385	0.9030	0.4533	0.4533	0.4533	0.4533
5	17:18:52	0.1000	0.8266	0.8815	0.4533	0.4533	0.4533	0.4533
6	17:19:04	0.1000	0.8158	0.7793	0.5556	0.5556	0.5556	0.5556
7	17:19:15	0.0500	0.6589	0.6004	0.6978	0.6978	0.6978	0.6978
8	17:19:27	0.0500	0.6494	0.6876	0.5467	0.5467	0.5467	0.5467
9	17:19:38	0.0500	0.6397	0.5814	0.7156	0.7156	0.7156	0.7156
10	17:19:50	0.0500	0.6305	0.5569	0.7244	0.7244	0.7244	0.7244
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:33:12	0.1000	0.9183	0.9692	0.4533	0.4533	0.4533	0.4533
2	21:33:23	0.1000	0.8670	0.6613	0.5600	0.5600	0.5600	0.5600
3	21:33:34	0.1000	0.8853	0.9236	0.4533	0.4533	0.4533	0.4533
4	21:33:44	0.1000	0.8385	0.9030	0.4533	0.4533	0.4533	0.4533
5	21:33:55	0.1000	0.8266	0.8815	0.4533	0.4533	0.4533	0.4533
6	21:34:06	0.1000	0.8158	0.7793	0.5556	0.5556	0.5556	0.5556
7	21:34:16	0.0500	0.6589	0.6004	0.6978	0.6978	0.6978	0.6978
8	21:34:27	0.0500	0.6494	0.6876	0.5467	0.5467	0.5467	0.5467
9	21:34:38	0.0500	0.6397	0.5814	0.7156	0.7156	0.7156	0.7156
10	21:34:49	0.0500	0.6305	0.5569	0.7244	0.7244	0.7244	0.7244
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:40:38	0.1000	0.9183	0.9692	0.4533	0.4533	0.4533	0.4533
2	21:40:49	0.1000	0.8670	0.6613	0.5600	0.5600	0.5600	0.5600
3	21:41:00	0.1000	0.8853	0.9236	0.4533	0.4533	0.4533	0.4533
4	21:41:11	0.1000	0.8385	0.9030	0.4533	0.4533	0.4533	0.4533
5	21:41:22	0.1000	0.8266	0.8815	0.4533	0.4533	0.4533	0.4533
6	21:41:32	0.1000	0.8158	0.7793	0.5556	0.5556	0.5556	0.5556
7	21:41:43	0.0500	0.6589	0.6004	0.6978	0.6978	0.6978	0.6978
8	21:41:54	0.0500	0.6494	0.6876	0.5467	0.5467	0.5467	0.5467
9	21:42:05	0.0500	0.6397	0.5814	0.7156	0.7156	0.7156	0.7156
10	21:42:16	0.0500	0.6305	0.5569	0.7244	0.7244	0.7244	0.7244
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:48:29	0.1000	0.9183	0.9692	0.4533	0.4533	0.4533	0.4533
